cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
1,1,1,0,3,2,1,2,2,0,1,1,15,1,61,177,61,177,60,1.13984958161,2.38987970314,65,[ 1.6],2,13,23,33,43,53,63,73,78,1,1.61963029075,1,2.88020430366,49.0,1.0
0,0,0,0,3,1,2,0,1,1,1,1,16,1,127,45,127,45,69,0.979810304882,2.7997871511,132,[ 1.5],1,11,21,31,41,51,61,71,76,1,1.01965006129,1,1.99014657547,122.0,1.1
1,1,0,0,3,1,2,1,1,0,1,1,17,1,129,169,129,169,53,0.639840717893,2.09993050262,126,[ 2.],2,13,23,33,43,53,63,73,78,1,0.719547272485,1,1.69017959651,112.0,1.2
0,0,0,0,3,1,2,0,1,1,1,1,18,1,164,107,164,107,163,1.12984352122,2.81986567445,145,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.92956336838,1,1.95012233403,131.0,1.4
1,1,1,1,3,2,1,1,1,0,1,1,19,1,26,166,166,26,83,0.549837854487,2.55001182327,151,[ 1.5],2,14,24,34,44,54,64,74,79,1,0.749533303926,1,2.30006823543,132.0,1.3
0,0,1,1,3,2,1,0,1,1,1,1,20,1,159,41,41,159,144,1.54979729181,3.07979489109,44,[ 1.6],1,12,22,32,42,52,62,72,77,1,0.949569179327,1,1.9801825801,66.0,1.2
1,1,0,0,3,1,2,1,1,0,1,1,21,1,94,120,94,120,159,0.789855605923,nan,82,[ 1.8],2,13,23,33,43,53,63,73,78,0,1.00965211348,1,1.75022857817,70.0,1.2
1,1,0,1,3,1,2,2,2,0,1,1,22,1,141,156,156,141,73,1.42983423689,3.07982103148,141,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.899589655979,1,1.88016163773,126.0,1.5
0,0,1,1,3,2,1,0,1,1,1,1,23,1,158,103,103,158,107,1.27983497301,3.07984867418,124,[ 1.9],1,12,22,32,42,52,62,72,77,1,0.849605926109,1,2.69006061266,104.0,1.2
0,0,1,0,3,2,1,0,2,2,1,1,24,1,65,45,65,45,51,1.04991131797,2.15990647147,47,[ 2.],1,11,21,31,41,51,61,71,76,1,0.889632871753,1,2.26017319362,30.0,1.1
1,1,0,1,3,1,2,2,2,0,1,1,25,1,145,82,82,145,123,0.729885646288,nan,80,[ 1.6],2,14,24,34,44,54,64,74,79,0,0.539645205805,1,1.26025491988,62.0,1.1
1,1,1,1,3,2,1,1,1,0,1,1,26,1,116,118,118,116,8,0.579948578554,2.20000612948,130,[ 2.],2,14,24,34,44,54,64,74,79,1,0.879640632746,1,1.7601366872,114.0,1.2
0,0,0,1,3,1,2,0,2,2,1,1,27,1,14,84,84,14,122,1.3297664221,2.77981138657,73,[ 1.7],1,12,22,32,42,52,62,72,77,1,0.599705905595,1,1.61033512882,98.0,1.3
0,0,1,0,3,2,1,0,2,2,1,1,28,1,86,86,86,86,50,1.00986303936,2.57990771544,77,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.71961637924,1,1.36021697125,64.0,1.1
1,1,0,0,3,1,2,1,1,0,1,1,29,1,50,151,50,151,113,1.07985408255,2.43989768595,57,[ 1.6],2,13,23,33,43,53,63,73,78,1,0.659612767689,1,1.53030647652,38.0,1.4
1,1,0,0,3,1,2,1,1,0,1,1,30,1,158,90,158,90,54,0.729780483816,2.08984331688,136,[ 1.7],2,13,23,33,43,53,63,73,78,1,0.759712732164,1,1.93020786415,117.0,1.4
0,0,1,0,3,2,1,0,2,2,1,1,31,1,177,27,177,27,53,0.809882749862,nan,165,[ 1.8],1,11,21,31,41,51,61,71,76,0,0.61964711675,1,1.14023597864,145.0,1.5
1,1,1,0,3,2,1,2,2,0,1,1,32,1,136,142,136,142,105,0.929839494987,2.16010417696,127,[ 1.9],2,13,23,33,43,53,63,73,78,1,1.47955746425,1,2.47010275576,105.0,1.1
