cond,cue,colcond,pside,subid,stimcol1,stimcol2,cuecol,probedcol,pcol,delay1,delay2,trialnum,block,ori1,ori2,targori,nontargori,pstartang,DT,CT,resp,ITI,arraytrig,cuetrig,prbontrig,moveontrig,moveofftrig,confontrig,confmovontrig,confmovofftrig,fbtrig,clickresp,confDT,confclicked,confCT,confang,DialConfInterv
0,0,1,0,6,2,1,0,2,2,1,1,11,1,2,126,2,126,30,0.909756989398,1.49987846615,169,[ 1.7],1,11,21,31,41,51,61,71,76,1,0.659638835667,1,1.22022894032,147.0,1.1
1,1,1,0,6,2,1,2,2,0,1,1,12,1,1,96,1,96,97,0.569873247261,1.32998136281,11,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.649630395901,1,1.33021211186,-10.0,1.5
0,0,0,1,6,1,2,0,2,2,1,1,13,1,123,130,130,123,47,1.25977956855,2.53981788251,157,[ 1.8],1,12,22,32,42,52,62,72,77,1,0.749566369046,1,1.67015894944,-175.0,1.2
1,1,1,0,6,2,1,2,2,0,1,1,14,1,168,88,168,88,166,1.41972351576,2.30983078102,163,[ 2.],2,13,23,33,43,53,63,73,78,1,1.16953175068,1,1.84033156957,153.0,1.4
1,1,1,1,6,2,1,1,1,0,1,1,15,1,105,90,90,105,100,0.699852266524,2.13986277041,85,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.4996008462,1,1.65013245537,60.0,1.1
0,0,0,0,6,1,2,0,1,1,1,1,16,1,55,12,55,12,144,1.41973072667,2.32986809146,22,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.999515967806,1,1.80014698234,50.0,1.4
0,0,1,0,6,2,1,0,2,2,1,1,17,1,109,26,109,26,128,1.58976754136,2.41984429847,98,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.82959903446,1,1.52017927519,78.0,1.4
0,0,1,0,6,2,1,0,2,2,1,1,18,1,162,68,162,68,22,1.02982701933,2.03996134953,108,[ 1.9],1,11,21,31,41,51,61,71,76,1,0.519651977547,1,1.24033475438,141.0,1.5
1,1,0,0,6,1,2,1,1,0,1,1,19,1,103,179,103,179,63,1.67973683792,2.18986350653,45,[ 1.8],2,13,23,33,43,53,63,73,78,1,0.489631165065,1,1.51017744542,60.0,1.5
1,1,0,1,6,1,2,2,2,0,1,1,20,1,27,139,139,27,9,0.629876414052,1.81985078829,158,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.589641951379,1,1.44020700113,120.0,1.2
1,1,1,0,6,2,1,2,2,0,1,1,21,1,36,88,36,88,23,0.869790532139,1.99979749367,50,[ 1.9],2,13,23,33,43,53,63,73,78,1,0.629640857725,1,1.42017179387,74.0,1.4
0,0,1,1,6,2,1,0,1,1,1,1,22,1,145,128,128,145,142,1.29972980127,2.51007138498,159,[ 1.6],1,12,22,32,42,52,62,72,77,1,1.33953641674,1,2.07008852291,127.0,1.4
0,0,1,1,6,2,1,0,1,1,1,1,23,1,173,178,178,173,177,0.939830080963,1.66989785448,177,[ 1.5],1,12,22,32,42,52,62,72,77,1,0.529646295952,1,1.25021369826,158.0,1.1
0,0,1,0,6,2,1,0,2,2,1,1,24,1,134,133,134,133,161,0.709866114472,1.42984672915,143,[ 1.6],1,11,21,31,41,51,61,71,76,1,0.819626048324,1,1.83017710891,134.0,1.0
1,1,1,1,6,2,1,1,1,0,1,1,25,1,130,96,96,130,30,0.459886770719,1.27994487261,105,[ 1.8],2,14,24,34,44,54,64,74,79,1,0.459656021665,1,1.80019565597,126.0,1.3
0,0,0,0,6,1,2,0,1,1,1,1,26,1,164,97,164,97,19,1.79971583014,3.31967427127,177,[ 2.],1,11,21,31,41,51,61,71,76,1,0.429681479172,1,1.08020272266,160.0,1.2
0,0,0,0,6,1,2,0,1,1,1,1,27,1,107,95,107,95,38,1.0497756957,1.7998468283,67,[ 1.5],1,11,21,31,41,51,61,71,76,1,0.329702841487,1,1.44025657612,152.0,1.4
1,1,0,1,6,1,2,2,2,0,1,1,28,1,41,1,1,41,16,0.729882693549,2.08983980067,6,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.499626985742,1,1.21024754146,31.0,1.3
0,0,0,0,6,1,2,0,1,1,1,1,29,1,26,12,26,12,26,1.18982594971,2.24985135014,2,[ 1.8],1,11,21,31,41,51,61,71,76,1,0.579624197524,1,1.49021194361,16.0,1.5
1,1,1,1,6,2,1,1,1,0,1,1,30,1,176,122,122,176,165,0.319925451229,1.00000450682,140,[ 1.7],2,14,24,34,44,54,64,74,79,1,0.399660666691,1,1.38024139115,-176.0,1.1
1,1,1,1,6,2,1,1,1,0,1,1,31,1,179,170,170,179,137,0.499898596607,1.60989739179,127,[ 1.6],2,14,24,34,44,54,64,74,79,1,0.439630428949,1,1.36042221068,149.0,1.2
1,1,0,1,6,1,2,2,2,0,1,1,32,1,157,19,19,157,21,0.8098543667,1.58990785361,47,[ 1.9],2,14,24,34,44,54,64,74,79,1,0.359699317156,1,1.05022938199,35.0,1.1
